Code,Category,Item,ImageUrl,Pricing2025,Notes,ExampleUrl,ArtworkTemplateUrl,Active
A1,Outdoor Features,Flag Pole and Surround,,475,Pole Supplied by Castle,,,TRUE
A2,Outdoor Features,Flag & Pole,,295,Pole Supplied by Castle,,,TRUE
A3,Outdoor Features,Entrance Archway (SMALL),,1800,6m W x 3.5m H goalpost with spiral fixing,,,TRUE
A4,Outdoor Features,Outside feature (MEDIUM),,5400,14m L x 4.5m H - 7m W x 4.5m H goalpost,,,TRUE
A5,Outdoor Features,Outdoor wall 5.5m W x 3.5m H,,5400,Timber frame wrapped with PVC Banner,,,TRUE
A6,Outdoor Features,Corriboard Signage Maps 2m x 1m,,260,Corriboard Sign,,,TRUE
A7,Outdoor Features,PVC Timber wrap 3m H x 2m W,,600,Sign on stakes,,,TRUE
A8,Outdoor Features,Bunting,,220,Price per 50m,,,TRUE
A9,Outdoor Features,Stakes for installation (per unit),,25,Stakes for bunting installation,,,TRUE
A10,Outdoor Features,Door Stoppers L/Y,,55,Per unit,,,TRUE
B1,Feather Flags,2.3m (small) feather flag,,220,With Single Sided Print and water base,,,TRUE
B2,Feather Flags,3.3m (medium) feather flag,,250,With Single Sided Print and water base,,,TRUE
B3,Feather Flags,4.5m (large) feather flag,,320,With Single Sided Print and water base,,,TRUE
C1,Teardrop Flags,2.3m (small) teardrop flag,,230,With Single Sided Print and water base,,,TRUE
C2,Teardrop Flags,3.3m (medium) teardrop flag,,250,With Single Sided Print and water base,,,TRUE
C3,Teardrop Flags,4.5m (large) teardrop flag,,330,With Single Sided Print and water base,,,TRUE
D1,Flags,Flags 0.9m h x 1.5m w,,145,Hem & eyelet - branding visible both sides,,,TRUE
D2,Flags,Flags 1.2m h x 1.8m w,,165,Hem & eyelet - branding visible both sides,,,TRUE
D3,Flags,Flags 2.4m x 900mm Rectangular,,180,Rectangular flags,,,TRUE
